,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_log,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_sqrt,aleatorio2_sqr,Beneficio
1174,0.98,0.58,33.6,0.036,1.0275,3.06,0.41,8.9,4,1.01,M,**,3.0,0.0,0.840547379418014,0.34707981748448624,15.619873266960257,28.603924131622485,15.261262900288282,9.28749473497307,1.4515834761967474,1.691100711522915,1.0791499663020672,1.584265632567575,1.9297524380738358,4.75097458716732e-05,1.7056278454173228,1.4439982583476252,335
1175,-0.38,1.88,13.2,0.295,0.9973,3.2,1.88,9.6,3,1.66,B,*,3.0,0.0,0.7498253286356652,0.5739809033556009,4.74507508189659,132.05057593415683,10.890549347068609,14.981313154582228,1.3427652279940074,1.752295051111865,1.5099209863727037,1.6453867038908638,1.6712221139600012,0.20108073949329203,1.6109379643386157,3.9534269146827845,631
1176,0.12,0.57,15.0,0.052,1.0001,2.93,0.64,10.3,4,2.26,R,*,2.0,0.0,0.7990041401770924,0.06932786922823697,8.011621557011479,28.26932928037026,11.246609316975723,9.599975615582204,1.3540064275480934,1.6322243881520055,1.1600349844446844,1.7043172287303043,1.9297524380738358,0.7327088716128716,1.6629369979274298,0.056981907660010496,375
1177,0.2,1.61,27.1,0.546,1.00959,3.07,0.54,10.7,2,5.42,M,*,3.0,0.0,0.09948734443356855,0.8800091613695402,8.613207380731344,96.10970634813332,13.788777928755412,21.791898268215178,1.390160238229968,1.6955449810948724,1.1256684370070575,1.7370944441901097,1.3645593560288818,9.014929805277795,0.586428565612709,9.298300823324697,353
1178,1.07,0.5,-53.7,0.045,0.9525,3.13,0.74,11.5,3,1.82,B,*,1.0,0.0,0.6947565784189494,0.8537934586523508,16.561543244617532,26.034228598488962,1.7191783589758214,9.462629059980623,1.1042952974246303,1.7219697387968875,1.1932596076436763,1.8008600422616272,1.6712221139600012,0.31036483687643973,1.5506431130707972,8.752264518073817,724
1179,1.295,0.43,45.9,0.621,1.02765,3.58,0.69,17.1,3,4.22,M,***,2.0,0.0,0.3087924520023365,0.28326487979172277,19.036294874716397,23.97584505795192,18.252038515196773,24.07382833839849,1.4520659274210135,1.9085288233227693,1.1767852741464173,2.1959725358627264,1.6712221139600012,4.784541600786449,1.0336503804960446,0.9612247625321472,445
1180,0.06,1.17,11.2,-0.482,1.04295,2.99,-1.41,14.0,1,2.28,B,****,3.0,6.666666666666667,0.001950285924073203,0.5180394624360944,7.574722759408917,57.269353558791515,10.501644401930939,1.9641381098274178,1.4989331664640637,1.6596576308667998,-0.01939434781316331,1.9869816848984945,0.9649150833430776,0.7561513181000638,0.07913454780529065,3.2197841080509844,667
1181,0.22,0.32,-28.7,-0.013,0.99316,3.13,0.55,11.2,2,4.04,R,Desc,2.0,0.0,0.4300737786686113,0.3136414813185975,8.76700635337258,21.065059055830158,4.220616417906802,8.36268398282573,1.325608393253847,1.7219697387968875,1.129158728903081,1.777216073778776,1.3645593560288818,4.2645981099085875,1.2199438172352133,1.1788211089969418,591
1182,0.21,0.21,10.2,0.037,0.99324,2.96,-1.37,17.4,0,3.04,M,**,3.0,13.333333333333334,0.9381212518012628,0.3863072730450592,8.689936741216398,18.50765685017808,10.309843472907376,9.30687332088374,1.3259462891467775,1.6459981629656495,0.0236187442775658,2.215151303450912,0.01,1.9204893158169638,1.8019239630454047,1.7893475313478713,744
1183,1.33,0.41,1.0,-0.444,0.9923,3.26,-0.45,1.8,3,1.9,M,Desc,3.0,6.666666666666667,0.28642602874874257,0.25226114827184454,19.436737690434725,23.41821007037371,8.628215207986612,2.3171863068066045,1.3219595856558448,1.7778765268058807,0.7008024188929406,0.71253035970505,1.6712221139600012,0.37386599589039704,0.9954943805541947,0.7620100878460606,343
1184,0.345,1.88,15.3,0.605,1.03625,2.07,1.44,10.7,4,2.55,M,*,3.0,0.0,0.5596630347150492,0.08964320316827268,9.759085240076205,132.05057593415683,11.306509469438083,23.57748413300828,1.4789564469944254,1.1703658157370491,1.399258003802873,1.7370944441901097,1.9297524380738358,1.1087529049606288,1.3917081647585854,0.09556838167631629,369
1185,0.2,0.27,10.9,-0.853,0.96952,3.11,-0.91,8.8,2,2.05,M,**,1.0,6.666666666666667,0.6292008918459435,0.007466166505332605,8.613207380731344,19.861503278456823,10.443918515175703,0.04952441311341827,1.211913249839357,1.7132067734301126,0.4184698799463066,1.5753404779800582,1.3645593560288818,0.5088493829021006,1.4756575550097963,0.0005874103633659616,568
1186,1.76,0.42,-20.5,0.117,0.96197,2.96,0.74,9.1,3,1.99,MB,*,3.0,0.0,0.9473632069504716,0.40119008447786153,24.696630320326324,23.695387234266697,5.281706839490887,10.92259485677453,1.1678161721904519,1.6459981629656495,1.1932596076436763,1.601966772589038,1.6712221139600012,0.4523644033192489,1.8107794180872632,1.930052026009921,951
1187,2.24,0.25,-0.7,0.035,0.9914,3.58,0.76,11.3,2,1.51,M,***,1.0,0.0,0.956541354784171,0.7392949252327227,31.31124802203989,19.399560472804033,8.33385725096949,9.268136344946054,1.3181084312219566,1.9085288233227693,1.1997740917614503,1.7851321928277326,1.3645593560288818,0.1200825560086144,1.8195310815401278,6.561079221847956,320
1188,0.26,0.73,-6.45,0.04,0.9396,4.47,-1.22,4.7,2,2.59,R,**,2.0,0.0,0.13522633140457718,0.16801981528267895,9.078687318708582,34.12536549806629,7.376096581500763,9.36513025391767,0.9947666337184657,2.232047508296864,0.1702089003171833,1.1513030572781957,1.3645593560288818,1.1667116858379931,0.6838225190663081,0.33741023503699086,434
1189,0.08,-0.68,53.4,0.469,0.9896,3.31,0.45,12.1,2,3.66,M,*,3.0,0.0,0.14933887188221695,0.7445729219936326,7.718994685258597,6.494584728203109,20.20693358831475,19.56730304063366,1.3103032460953359,1.7989165563140639,1.093695186496649,1.8472403010026475,1.3645593560288818,3.2651281019061864,0.7186553299131695,6.655156460508198,292
1190,0.23,0.34,4.0,0.608,0.9174,4.21,-0.5,9.7,2,2.15,R,***,2.0,0.0,0.47386927018174496,0.6411161088654017,8.84441621719989,21.566660754236345,9.160132680914884,23.6701548517877,0.5695373748942597,2.1425932308359408,0.6737018522653031,1.653933909898803,1.3645593560288818,0.610373607475507,1.280572624114972,4.9331873314955965,543
1191,-1.04,0.64,10.4,0.031,0.99692,3.51,0.58,4.6,3,2.33,B,**,1.0,0.0,0.8856762494844265,0.6983231617744005,1.7357171318194011,30.696318692092238,10.348062243056342,9.190904743674523,1.3412176986156397,1.8807243563677487,1.1395571016703416,1.1389902355708847,1.6712221139600012,0.8163723763038956,1.750824184410366,5.85355804515344,727
1192,2.21,-0.82,1.4,0.03,0.96579,3.36,0.53,5.8,2,2.3,R,*,2.0,0.0,0.37226586982771115,0.8919676963433477,30.874867427881707,5.50820133066486,8.69821833594802,9.171647333065774,1.1907395500451297,1.819713331432827,1.122165920292877,1.2789442647720912,1.3645593560288818,0.779962894184022,1.134968691818408,9.552867479919557,695
1193,0.22,1.68,1.7,0.354,0.9928,2.73,0.56,10.4,2,1.19,B,****,3.0,0.0,0.17997128483022262,0.336336699706168,8.76700635337258,104.36095409997145,8.750906289967247,16.46781817835129,1.3240846550555123,1.537248556748113,1.132636881020674,1.7125703457432762,1.3645593560288818,0.016682795433307814,0.7889887463688934,1.3558711084402826,971
1194,0.31,0.3,92.0,0.043,0.98867,3.09,0.36,12.8,2,1.1,R,Desc,1.0,6.666666666666667,0.5608942119133666,0.09355426315537696,9.47594418797894,20.57512370979586,31.840898790317038,9.423568949904483,1.3062153002591625,1.704398754904912,1.060665785740293,1.8999201405465587,1.3645593560288818,0.004627715422334123,1.3932384874389399,0.10413584851830934,908
1195,0.19,2.38,-22.7,-0.509,0.9975,2.87,1.2,3.5,3,5.53,M,Desc,2.0,0.0,0.7274726105937226,0.49894779372927367,8.536818271917417,237.81867040250845,4.985357251856947,1.7310099630375877,1.3435775727062473,1.6043221169272643,1.3333017186006093,0.993528587424899,1.6712221139600012,9.469204859306977,1.5867402181173258,2.986625340640515,541
1196,-0.39,1.68,2.7,0.032,1.02746,1.31,0.39,14.7,3,1.22,MB,**,2.0,0.0,0.11464394721212168,0.8183946740607246,4.688420570008033,104.36095409997145,8.927681805567618,9.210182350166926,1.451454741258902,0.4752551904403832,1.0717972428339104,2.0360491219339876,1.6712221139600012,0.0223622386224127,0.6295751382008445,8.04117370570876,862
1197,-0.4,0.31,-34.1,-0.115,0.98964,4.3,0.4,14.3,1,1.96,R,***,1.0,0.0,0.6490769651518715,0.2862000919926897,4.6321063097906015,20.81865019706756,3.5867593409006004,6.593096223268988,1.3104782155595665,2.1739747584662314,1.0754803623705662,2.0081573979743124,0.9649150833430776,0.4253677259169082,1.4987890522169103,0.981282379501842,688
1198,0.26,0.27,10.6,0.03,0.91473,3.4,0.34,3.1,1,3.06,R,***,2.0,0.0,0.5164336405838889,0.3668703522792883,9.078687318708582,19.861503278456823,10.38635172103318,9.171647333065774,0.1,1.836181165954265,1.0531753743308172,0.935039658058049,0.9649150833430776,1.9583278165780298,1.3368649524849325,1.613605826412322,711
1199,-0.79,-0.99,1.2,0.052,0.99596,3.44,0.96,13.8,1,1.26,R,****,3.0,0.0,0.10244468540657903,0.36950617274577,2.701246464789949,4.509598587867072,8.663181418053378,9.599975615582204,1.3372841079718958,1.8525026153330988,1.262686080205321,1.9727382670231395,0.9649150833430776,0.031226783129900126,0.5950929774528009,1.6369056802143767,555
1200,-0.13,2.35,-44.2,0.042,0.99123,2.63,-1.19,12.2,2,3.99,R,**,1.0,0.0,0.8945288722848022,0.5492823397843152,6.272019672226823,229.5702503907095,2.539578225689281,9.40406918869189,1.3173771883727052,1.4874883062387885,0.19711411388435335,1.8548575963185563,1.3645593560288818,4.125475600396027,1.7595538459018314,3.6202429830922385,763
1201,0.51,0.24,2.0,0.079,0.99764,2.96,1.06,9.5,4,1.33,M,**,1.0,0.0,0.2847187000429131,0.36685973947196526,11.150034582842142,19.172633809843806,8.803753336599188,10.139010812070948,1.3441453385115394,1.6459981629656495,1.2927175303419187,1.636794865695925,1.9297524380738358,0.05029260838687582,0.9925215057294434,1.613512350003361,366
1202,1.24,0.97,9.8,0.654,0.96565,3.15,0.67,8.9,2,5.85,R,*,1.0,6.666666666666667,0.26094807663872355,0.9712968516940206,18.4154488217337,45.26057032166355,10.233618056093066,25.11386663394961,1.1899225362027945,1.7306883353560871,1.170118788987635,1.584265632567575,1.3645593560288818,10.854222579853797,0.9501652936704804,11.328627485360172,212
1203,0.38,0.29,38.8,-0.386,1.00513,2.74,0.6,9.9,2,1.67,R,***,2.0,13.333333333333334,0.6560604475467705,0.890806749055641,10.046394375144779,20.334445877429346,16.493024180612643,2.912274684392378,1.3735242565504155,1.542136275309954,1.1464297618069148,1.6708971614847345,1.3645593560288818,0.20721887758580257,1.5068320351117273,9.528003204441822,348
1204,1.58,0.35,-52.8,0.231,1.0082,3.07,-1.4,10.6,4,1.31,B,***,2.0,0.0,0.131127613255674,0.6881109683430477,22.418258174833227,21.821923041342732,1.7900594692650382,13.44832412685884,1.3850395864880434,1.6955449810948724,-0.008466385524673955,1.7289583959898647,1.9297524380738358,0.04438381774606812,0.6733684242823154,5.683491488209571,609
1205,0.18,-0.98,12.8,0.062,0.99808,3.0,0.52,8.0,2,4.21,R,***,3.0,0.0,0.3264088305305908,0.3644169212331003,8.460769414774614,4.56297404837941,10.812202695418083,9.79790163083786,1.3459250771872773,1.6641858724604952,1.1186510928241102,1.5020312372863738,1.3645593560288818,4.754871450900107,1.0627390596613797,1.5920683210214555,960
1206,0.335,1.15,1.0,-0.923,0.992,2.0,0.18,9.4,1,2.8,R,**,2.0,6.666666666666667,0.5478744881581776,0.46198359336605155,9.677762482030932,55.93737150839127,8.628215207986612,1e-08,1.3206796084552703,1.1244545245704414,0.9911422159101724,1.6281576887378693,0.9649150833430776,1.4952194152319216,1.3769691909958455,2.560102459761565,435
1207,-0.63,1.57,36.8,0.033,1.02704,3.22,0.32,6.1,2,2.79,R,*,1.0,0.0,0.021785881803566554,0.1583944854700674,3.4307877860207823,91.691018853559,16.013613215796436,9.229480152542981,1.4501009517010583,1.7608635037834521,1.0456284329592842,1.311601445298962,1.3645593560288818,1.4786533660307726,0.2737253415278757,0.2997557784179503,558
1208,0.38,0.05,1.1,0.103,0.96558,3.66,0.58,9.7,5,3.29,B,****,3.0,6.666666666666667,0.873914012854662,0.038646308027715626,10.046394375144779,15.331675956274566,8.645689474541511,10.630513089745747,1.1895133973940994,1.939817414262334,1.1395571016703416,1.653933909898803,2.1575230219663686,2.4200017650978407,1.739157536501388,0.01751307423314679,1192
1209,0.38,0.34,-55.8,0.256,0.98261,3.29,0.8,9.6,3,1.12,M,**,2.0,0.0,0.14649793927702315,0.43141259086811445,10.046394375144779,21.566660754236345,1.5593573430793826,14.037302472532229,1.2785882126687123,1.7905302130306116,1.2126771103636147,1.6453867038908638,1.6712221139600012,0.006660645297098938,0.7117803421310331,2.2321658579076016,324
1210,0.91,-0.44,9.8,-0.375,1.0324,3.3,0.47,8.2,2,4.05,B,***,1.0,0.0,0.02286173126454971,0.08926051259102641,14.906517377921043,8.613786387650434,10.233618056093066,3.0328006110913392,1.4671008113690076,1.794728283105314,1.100889222004193,1.5206899038688444,1.3645593560288818,4.292699459008674,0.2804456169955855,0.09474982032870008,604
1211,0.115,0.43,44.8,0.048,0.9946,4.23,0.44,22.7,2,1.23,R,**,2.0,0.0,0.5015646560666892,0.6760041907261896,7.974745477830133,23.97584505795192,17.973681771785557,9.521370694222238,1.3316513974409478,2.1496064955310774,1.0900786673947154,2.5301173618455324,1.3645593560288818,0.024439951150497304,1.317473769794699,5.485121773141797,742
1212,0.22,0.72,-17.3,0.386,0.9958,3.12,0.36,9.2,2,1.29,MM,Desc,3.0,0.0,0.3750259025993027,0.5607113507869437,8.76700635337258,33.72618349981275,5.728033675961009,17.30346339784242,1.3366251242742884,1.7175938445772096,1.060665785740293,1.6107443973056803,1.3645593560288818,0.03884415670202642,1.1391699235553292,3.7725975815693498,291
1213,-1.15,0.41,55.9,-0.288,0.96641,2.48,0.45,14.9,2,2.16,R,**,2.0,0.0,0.015625212863415783,0.7844444802333297,1.378254056195522,23.41821007037371,20.880661475564654,4.07214617427054,1.1943376900141558,1.4095580744178706,1.093695186496649,2.0498526710163256,1.3645593560288818,0.6210335831284011,0.23151602691661302,7.387481827738155,632
1214,-0.58,0.36,18.5,0.511,1.04357,2.97,-1.27,11.0,2,1.11,M,Desc,3.0,0.0,0.08289657231589564,0.5569800384724259,3.67663266163959,22.080206604480747,11.955343524938923,20.765874644829196,1.5007418542616033,1.650563879069512,0.12369290128657254,1.7612771011266364,1.3645593560288818,0.005598039160120765,0.5352266079985019,3.7225120281257102,424
1215,0.24,-0.88,53.2,0.024,0.9928,3.95,0.89,8.9,3,1.86,M,Desc,2.0,6.666666666666667,0.9075237715759288,0.2487441452481589,8.922166332698326,5.132738376365246,20.15351263517291,9.056526982970002,1.3240846550555123,2.04923776715972,1.2411142118519125,1.584265632567575,1.6712221139600012,0.3413771571898865,1.7722903638252625,0.7408708853382332,302
1216,0.26,2.66,1.9,0.089,0.9928,3.96,-0.43,10.9,3,6.44,R,Desc,2.0,6.666666666666667,0.48093437511016646,0.3865644865914126,9.078687318708582,330.61999049065133,8.786119977431573,10.34238971591304,1.3240846550555123,2.0529068641213257,0.7114402920322562,1.753253277190933,1.6712221139600012,13.655581102741573,1.2900864121375413,1.7917340521618719,428
1217,0.68,1.85,-7.2,0.156,0.99014,3.22,0.16,16.7,3,1.47,M,*,2.0,6.666666666666667,0.3972178502387447,0.8748597376458377,12.68002056904533,127.47057970736213,7.255480035048513,11.757123653539141,1.3126594440079973,1.7608635037834521,0.9831103435294056,2.1701372045044,1.6712221139600012,0.10198977158197718,1.1724027439090767,9.189741649763022,439
1218,0.88,-0.84,1.0,0.336,0.9923,4.2,0.31,10.1,3,6.16,M,*,3.0,0.0,0.4523504337783546,0.9802900407699489,14.605897200542572,5.380090485221067,8.628215207986612,16.006855890031588,1.3219595856558448,2.139077975769302,1.0418334956298392,1.6876899212243768,1.6712221139600012,12.286072259444028,1.2511499596114781,11.539484751735278,131
1219,0.15,1.56,-48.8,0.051,0.99792,2.25,0.39,9.0,2,1.0,M,*,3.0,0.0,0.6774675905472451,0.6032578239694626,8.234664353372976,90.61846172212142,2.1224100439350955,9.58029409141673,1.3452787165575562,1.2808891981332646,1.0717972428339104,1.5931407870954277,1.3645593560288818,1e-08,1.5312237479126873,4.367367120420124,513
1220,0.64,0.24,2.8,0.105,1.02773,3.3,2.27,2.5,6,3.53,R,*,1.0,0.0,0.8798582966296418,0.4973336639700511,12.311177322959981,19.172633809843806,8.94545658039098,10.671996705860304,1.452323038236619,1.794728283105314,1.598714607992873,0.8397019258686444,2.363443823825282,2.9537957671320827,1.7450632611835957,2.967314357042728,467
1221,0.41,1.1,4.8,0.052,0.9946,1.16,0.04,9.1,2,3.1,R,Desc,3.0,6.666666666666667,0.13121094270416644,0.11380603151135338,10.295976801854184,52.74138015267901,9.304664237821632,9.599975615582204,1.3316513974409478,0.01,0.933515304823305,1.601966772589038,1.3645593560288818,2.035112206890459,0.6735825782086072,0.15438063600728738,548
1222,0.61,-0.47,24.0,0.051,0.95859,3.36,-0.16,3.8,3,4.04,B,**,1.0,0.0,0.841287649238302,0.030471279450392963,12.038117530942804,8.315028817872571,13.112819177378038,9.58029409141673,1.1463430957342615,1.819713331432827,0.8449655479304999,1.0352289471162484,1.6712221139600012,4.2645981099085875,1.7063788792424779,0.010814844401884545,348
1223,0.28,-0.3,-25.9,-0.512,0.99002,4.5,0.6,8.5,1,2.25,B,Desc,2.0,6.666666666666667,0.027625061505053283,0.016741082182025635,9.236569311403342,10.156303694601124,4.569576197028331,1.706015650380901,1.3121369406714642,2.2421395091524396,1.1464297618069148,1.54825634267893,0.9649150833430776,0.721126071968063,0.3084454263642044,0.0031800968126170833,914
1224,0.23,0.76,-26.6,-0.637,1.04265,3.43,0.39,11.3,3,1.0,M,****,3.0,13.333333333333334,0.2201545796490304,0.4777127414419806,8.84441621719989,35.35148407050823,4.481036995910766,0.8261530255799484,1.4980556393346258,1.8484357639402214,1.0717972428339104,1.7851321928277326,1.6712221139600012,1e-08,0.8726984128108687,2.7375833717368065,536
1225,1.26,0.01,12.5,0.019,0.98842,3.16,0.47,11.8,2,1.51,MM,*,1.0,0.0,0.3372939774338215,0.3929257370003134,18.640020141969377,14.626795175831194,10.753628314728362,8.961148744690663,1.3051098179705503,1.7350312044860536,1.100889222004193,1.8241975799598713,1.3645593560288818,0.1200825560086144,1.0803215012005394,1.8512621022999027,384
1226,0.18,0.52,1.1,0.601,1.00131,3.89,0.68,9.9,4,3.37,B,***,2.0,0.0,0.12960147665944421,0.11246373121905473,8.460769414774614,26.654156282863656,8.645689474541511,23.454205917006874,1.358778779858958,2.0270837249451596,1.1734575868097858,1.6708971614847345,1.9297524380738358,2.5920270255609994,0.6694341868957958,0.1507452892801562,1145
1227,0.21,0.06,53.5,0.047,1.01935,3.24,0.37,12.0,1,1.03,R,***,1.0,0.0,0.2850084142496462,0.7253992326107315,8.689936741216398,15.513141168454158,20.233670580321125,9.501769953591378,1.424614925804825,1.7693904633409607,1.0643900561230062,1.8395914646127416,0.9649150833430776,0.00041935643518951736,0.9930265956606771,6.316599006071148,644
1228,1.51,-0.99,-97.8,0.048,0.98018,3.1,0.51,9.2,3,2.29,R,***,1.0,0.0,0.06762088884750583,0.32206857182279713,21.56199658392064,4.509598587867072,1e-08,9.521370694222238,1.2669888749496965,1.7088084392710954,1.1151238677549737,1.6107443973056803,1.6712221139600012,0.7680109649424475,0.48331037418500505,1.2431172994086979,615
1229,0.2,0.07,3.2,-0.425,0.99892,3.11,0.54,10.6,3,1.04,M,**,2.0,6.666666666666667,0.5037836409937416,0.8304565382554473,8.613207380731344,15.696754196914581,9.01673244925412,2.5046464762945457,1.349303286815077,1.7132067734301126,1.1256684370070575,1.7289583959898647,1.6712221139600012,0.0007437033786356822,1.3203857071480372,8.280089017700416,415
1230,0.67,1.91,58.8,0.036,0.9866,2.87,1.68,11.3,1,2.09,R,**,2.0,0.0,0.16613772680755523,0.4774999739628478,12.587299380017303,136.7951306456281,21.676026882080855,9.28749473497307,1.296975951880676,1.6043221169272643,1.4611319268398293,1.7851321928277326,0.9649150833430776,0.5483516839411652,0.7580347797950493,2.735142913349634,444
1231,1.25,-0.34,1.5,0.049,0.9928,3.18,0.41,12.7,2,3.45,B,***,3.0,0.0,0.5280608076462104,0.8069158227560665,18.527564356015972,9.689363009506582,8.715763310330795,9.540991630736748,1.3240846550555123,1.7436844936357407,1.0791499663020672,1.8924842317657906,1.3645593560288818,2.769958359572414,1.351834579257988,7.817054423604382,793
1232,0.68,-0.04,1.9,0.488,0.93926,4.33,0.38,9.1,2,1.0,R,*,2.0,13.333333333333334,0.5820193431403016,0.8912663146337925,12.68002056904533,13.791090714159829,8.786119977431573,20.105101203858123,0.9913495281836211,2.184335081816985,1.068100507764651,1.601966772589038,1.3645593560288818,1e-08,1.4192394616670907,9.537841951922038,736
1233,0.68,0.3,1.4,-0.251,0.97283,3.87,0.5,9.6,3,3.55,B,**,3.0,0.0,0.3724765724243708,0.026683600577727784,12.68002056904533,20.57512370979586,8.69821833594802,4.5604960582408856,1.2298154787760647,2.0196450418655605,1.1115841573174539,1.6453867038908638,1.6712221139600012,3.000677943013915,1.1352899645597336,0.00825602998424229,502
1234,0.26,0.21,8.2,-0.164,0.99034,2.28,-0.67,4.1,2,1.38,R,Desc,1.0,0.0,0.30871860511344507,0.20564300008901382,9.078687318708582,18.50765685017808,9.931544701950784,5.817714814273578,1.3135288988633782,1.298395408611176,0.5756458917436391,1.0753133923951275,1.3645593560288818,0.06667952697474616,1.033526719184052,0.5059597244291255,556
1235,0.16,-0.71,2.2,0.037,0.98986,3.36,0.33,8.3,1,1.07,B,***,3.0,0.0,0.04807054407577893,0.060438323360350155,8.309692455502395,6.269328811374686,8.839073085805326,9.30687332088374,1.3114392971229187,1.819713331432827,1.049409023168663,1.529933905991019,0.9649150833430776,0.0022704386041231756,0.4073242721224989,0.0432178781920392,975
1236,1.64,0.44,11.8,-0.053,0.99519,3.2,0.18,6.9,2,1.0,B,***,1.0,0.0,0.2546336797732871,0.1285042842514511,23.16546649650368,24.259622371210728,10.617573453279565,7.643685102955546,1.3341037650092928,1.752295051111865,0.9911422159101724,1.3949545279645246,1.3645593560288818,1e-08,0.9385925877787867,0.1970217518674641,597
1237,0.205,0.81,2.3,1.027,0.95345,5.26,0.61,9.9,3,4.02,R,Desc,1.0,0.0,0.786862557509266,0.7057404253755486,8.651529529514981,37.493692658411625,8.856759475843848,38.39866311923203,1.1111741628305818,2.484165498735474,1.1498484601020227,1.6708971614847345,1.6712221139600012,4.208672258905986,1.6502514715879162,5.978651584047191,623
1238,-0.34,-2.17,-6.3,-0.309,0.973,3.69,0.46,11.1,2,3.13,R,*,3.0,0.0,0.20232262233311904,0.6264271918421026,4.97509564616209,1.1249793712262208,7.400339210250748,3.807273911648542,1.2307140609738767,1.9514213025083824,1.0972986735048311,1.769264536445963,1.3645593560288818,2.093669464816292,0.8365853621431998,4.709559800450475,796
1239,-0.95,1.81,7.2,-0.27,0.99509,4.46,0.55,3.2,2,3.73,M,*,2.0,6.666666666666667,0.32686648247547656,0.5312209470662613,2.058809571367649,121.61006178590664,9.74504686001776,4.306268297394615,1.3336890608555807,2.228673352667801,1.129158728903081,0.9499995447965297,1.3645593560288818,3.4392283578048772,1.0634841446100223,3.3858775427096375,522
1240,0.15,0.38,15.3,-0.596,1.00248,3.18,1.34,9.8,3,1.24,R,***,1.0,0.0,0.9792247788839059,0.8062913745855046,8.234664353372976,22.605981020997355,11.306509469438083,1.0799706548634083,1.363346034569491,1.7436844936357407,1.3723028680764287,1.66243717213176,1.6712221139600012,0.0266099460777734,1.8409820043642189,7.804953205360938,524
1241,-0.18,-0.43,54.6,0.478,0.9969,2.93,0.55,19.2,3,1.45,R,**,1.0,0.0,0.6583773909752709,0.5225769001315619,5.94961817060442,8.715738879926072,20.528944171551167,19.821140724238738,1.3411361011798613,1.6322243881520055,1.129158728903081,2.3269067043355394,1.6712221139600012,0.09349707376380757,1.5094910263541583,3.276486699113637,687
1242,0.26,0.28,30.0,-0.079,0.98918,4.09,1.54,5.4,2,2.97,M,**,1.0,6.666666666666667,0.41595161529115665,0.41188684789657504,9.078687318708582,20.096583377782547,14.436505390670998,7.193663899214591,1.308461820584288,2.1000218465510248,1.425505590551165,1.2340577541202127,1.3645593560288818,1.7909614587277665,1.1997405389342086,2.034469800988327,589
1243,0.33,0.2,15.35,0.047,0.95599,2.67,-0.36,15.4,1,1.38,R,*,1.0,0.0,0.582211165990184,0.5090844662598094,9.63722869738497,18.291163243835214,11.316508295519156,9.501769953591378,1.1289641855404593,1.5075895087217694,0.7478061828566085,2.083961572998472,0.9649150833430776,0.06667952697474616,1.4194733767405154,3.109329303014437,435
1244,0.44,0.81,13.1,0.053,0.99174,3.22,0.39,19.1,2,1.9,R,*,1.0,6.666666666666667,0.20725800686611096,0.9832699732873522,10.548621493603738,37.493692658411625,10.870936168720526,9.619677335631328,1.3195672766613298,1.7608635037834521,1.0717972428339104,2.320839252880169,1.3645593560288818,0.37386599589039704,0.8467346051762906,11.609782085725703,444
1245,0.39,-1.72,-47.3,0.02,1.04263,3.64,0.84,12.0,3,5.78,MB,****,3.0,0.0,0.3296791084202918,0.5059401591895528,10.129248265710121,1.9102914908074062,2.254333254185858,8.980184000579222,1.4979970826691196,1.9320427707144592,1.2254157596852266,1.8395914646127416,1.6712221139600012,10.543175243554924,1.0680518558184156,3.0710033382935187,713
1246,0.77,0.42,-22.4,0.031,0.99134,3.78,-1.03,11.2,2,5.7,R,Desc,1.0,6.666666666666667,0.8665623192761523,0.1353145366430898,13.529822595498297,23.695387234266697,5.025264765987975,9.190904743674523,1.317850484488824,1.9858261750485178,0.3295285153338641,1.777216073778776,1.3645593560288818,10.193229517450561,1.7318256756250838,0.21853962797939275,673
1247,0.32,-1.05,-33.7,0.419,1.00349,3.47,0.47,9.2,3,2.03,R,Desc,1.0,6.666666666666667,0.44948761189118913,0.3356371089289779,9.556416316846391,4.202204738793375,3.6319440212782865,18.18688261566098,1.367252120601631,1.8646499508015109,1.100889222004193,1.6107443973056803,1.6712221139600012,0.4896519267777173,1.2471833150349467,1.350228498440533,384
1248,1.02,0.38,4.9,-0.491,0.98963,2.29,-1.3,16.6,1,1.76,MM,*,1.0,0.0,0.21571417417470828,0.5992503837132772,16.03499074031889,22.605981020997355,9.322810228741332,1.8847928609882112,1.3104344797637668,1.3041785934086192,0.09470796338396417,2.163630170200506,0.9649150833430776,0.2666148283820144,0.8638469340366859,4.309489567739793,341
1249,1.33,0.28,26.05,-0.257,1.00295,4.24,0.09,9.1,3,1.47,M,***,1.0,0.0,0.3395156123097357,0.4947174959634373,19.436737690434725,20.096583377782547,13.55792167563386,4.479425967984841,1.3651678896909256,2.1531045613327984,0.9544796175843475,1.601966772589038,1.6712221139600012,0.10198977158197718,1.0838749930756162,2.9361483020098595,340
1250,0.45,0.27,10.4,0.601,0.9526,3.04,1.91,6.2,3,1.14,R,**,1.0,0.0,0.06743115192839155,0.5715109313678938,10.633516894195843,19.861503278456823,10.348062243056342,23.454205917006874,1.1050254579193248,1.6821769477994597,1.5170382974554324,1.3223079536487052,1.6712221139600012,0.009062704768629666,0.4826304184067679,3.9194470244959745,945
